recordId,stoylProductRefId,fieldName,businessObjectName,description,fieldSource,fieldType,relatedBusinessObject,defaultPrompts,category,usageType
15001,5a381a8f52c57b32c0343469,First Name,W-2GU,Worker's first name as reported in W-2GU Box e.,Workday Delivered,Text,,,Year End,Default Areas
15002,5a381a8f52c57b32c0343469,First Name,W-2VI,Worker's first name as reported in W-2VI Box e.,Workday Delivered,Text,,,Year End,Default Areas
15003,5a381a8f52c57b32c0343469,First Name (Derived),Student (Derived),First Name for derived class and attribute,Workday Delivered,Text,,,Uncategorized,Default Areas
15004,5a381a8f52c57b32c0343469,First Name (Previous),W-2C,Workers previous first name on the corrected W-2.,Workday Delivered,Text,,,W-2,Default Areas
15005,5a381a8f52c57b32c0343469,First Name (Previous),W-2VI,Worker's incorrect first name as previously reported on W-2VI form.,Workday Delivered,Text,,,Year End,Default Areas
15006,5a381a8f52c57b32c0343469,First Name (Previous),W-2GU,Worker's incorrect first name as previously reported on W-2GU form.,Workday Delivered,Text,,,Year End,Default Areas
15007,5a381a8f52c57b32c0343469,First Name (REST),Global Name Interface,The person's first or given name.,Workday Delivered,Text,,,Name,REST API (internal)
15008,5a381a8f52c57b32c0343469,First Name (REST),Local Person Name,Returns the local first name.,Workday Delivered,Text,,,Name in Local Script,REST API (internal)
15009,5a381a8f52c57b32c0343469,First Name + Last Name,Worker,,Calculated,Text,,,Uncategorized,Default Areas
15010,5a381a8f52c57b32c0343469,First Name 2 (REST),Local Person Name,Returns the local first name 2.,Workday Delivered,Text,,,Name in Local Script,REST API (internal)
15011,5a381a8f52c57b32c0343469,First Name - Current,Name Change Event,Returns the current (old) First Name for the Name Change Event (Legal and Preferred).,Workday Delivered,Text,,,Name,Default Areas
15012,5a381a8f52c57b32c0343469,First Name First Initial,Worker,,Calculated,Text,,,Uncategorized,Default Areas
15013,5a381a8f52c57b32c0343469,First Name - Local,Global Name Interface,The person's given name in local script.  Workday only tracks local names for countries where a non-Latin script is commonly used.,Workday Delivered,Text,,,Name in Local Script,Default Areas
15014,5a381a8f52c57b32c0343469,First Name - Local 2,Global Name Interface,The person's given name in second local script.  Workday only tracks local names for countries where a non-Latin script is commonly used.,Workday Delivered,Text,,,Name in Local Script,Default Areas
15015,5a381a8f52c57b32c0343469,First Name - Proposed,Name Change Event,Returns the proposed (new) First Name for this Name Change Event (Preferred or Legal name change).,Workday Delivered,Text,,,Name,Default Areas
15016,5a381a8f52c57b32c0343469,First National Identifier,Employee,,Calculated,Single instance,National Identifier,,Uncategorized,Default Areas
15017,5a381a8f52c57b32c0343469,First Non Discretionary Performance Factor Amount,Compensation Review Bonus Payment,This represents the First Non Discretionary Performance FactorTarget amount. This sums all proration segments with no rounding rules applied. The amount is expressed in the employee's pay range currency and bonus plan's frequency.,Workday Delivered,Numeric,,,Compensation,Default Areas
15018,5a381a8f52c57b32c0343469,First Notice Item Rule Set,Bank Account,The first notice item rule set for the bank account.,Workday Delivered,Single instance,Bank Reconciliation Rule Set,,Bank Account,Default Areas
15019,5a381a8f52c57b32c0343469,First of Following,Plan Entry Line,,Calculated,Date,,,Uncategorized,Default Areas
15020,5a381a8f52c57b32c0343469,First Posted Date,Journal Entry,Date Journal Status First Changed to Posted,Workday Delivered,Date,,,Date and Time Period,Default Areas
15021,5a381a8f52c57b32c0343469,First Referral Date,Loan,First Referral Date,Workday Delivered,Date,,,Date or Time Period,Default Areas
15022,5a381a8f52c57b32c0343469,First Referred By,"Job Applications, Prospects and Referrals",First worker to ever refer the candidate.,Workday Delivered,Single instance,Worker,,Recruiting,Default Areas
15023,5a381a8f52c57b32c0343469,First Referred Date,"Job Applications, Prospects and Referrals",First date that the candidate was ever referred.,Workday Delivered,Date,,,Date or Time Period,Default Areas
