recordId,stoylProductRefId,fieldName,businessObjectName,description,fieldSource,fieldType,relatedBusinessObject,defaultPrompts,category,usageType
35001,5a381a8f52c57b32c0343469,Tax Rate Taxable Amount,Tax Rate Application,The taxable amount in transaction currency per tax rate for a given taxable document.   This is the amount the tax rates are derived from.,Workday Delivered,Currency,,,"Amount

Tax",Default Areas
35002,5a381a8f52c57b32c0343469,Tax Rate Taxable Amount in Base Currency,Tax Rate Application,Tax Rate Taxable Amount in Base Currency,Workday Delivered,Currency,,,"Amount

Tax",Default Areas
35003,5a381a8f52c57b32c0343469,Tax Rate Taxable Amount in Tax Currency,Tax Rate Application,Returns the Taxable Amount for this Tax Rate Application converted to the tax currency.,Workday Delivered,Currency,,,"Amount

Tax",Default Areas
35004,5a381a8f52c57b32c0343469,Tax Rate Tax Amount,Tax Rate Application,The tax amount in transaction currency for the tax rate application.,Workday Delivered,Currency,,,"Amount

Tax",Default Areas
35005,5a381a8f52c57b32c0343469,Tax Rate Tax Amount in Base Currency,Tax Rate Application,Tax Rate Tax Amount in Base Currency,Workday Delivered,Currency,,,"Amount

Tax",Default Areas
35006,5a381a8f52c57b32c0343469,Tax Rate Tax Amount in Tax Currency,Tax Rate Application,"Returns the Amount for this Tax Rate Application, converted to the currency for the country for the Default Tax Code listed on the header for the related document. If there is no Tax Code specified on the header of the document, this will return 0.",Workday Delivered,Currency,,,"Amount

Tax",Default Areas
35007,5a381a8f52c57b32c0343469,Tax Rate Tax Amount with Sign,Tax Rate Application,Reverses the sign of the Tax Rate Tax Amount when an invoice adjustment decreases liability or the amount due.,Workday Delivered,Currency,,,"Amount

Tax",Default Areas
35008,5a381a8f52c57b32c0343469,Tax Recoverabilities,Taxable Document Line,Tax Recoverabilities on a Taxable Document Line.,Workday Delivered,Multi-instance,Tax Recoverability,,Tax,Default Areas
35009,5a381a8f52c57b32c0343469,Tax Recoverability,Line Tax Rate Application,Returns the associated Tax Recoverability for the line tax rate application.,Workday Delivered,Single instance,Tax Recoverability,,Tax,Default Areas
35010,5a381a8f52c57b32c0343469,Tax Recoverability,Tax Rate Application,Returns the associated Tax Recoverability for the tax rate application.,Workday Delivered,Single instance,Tax Recoverability,,Tax,Default Areas
35011,5a381a8f52c57b32c0343469,Tax Recoverability,Tax Rate Recoverability,Returns the Tax Recoverability for the tax rate on the Tax Rate Recoverability object.,Workday Delivered,Multi-instance,Tax Recoverability,,Tax,Default Areas
35012,5a381a8f52c57b32c0343469,Tax Recoverability,Country Tax Rule Line,Country Tax Rule Tax Recoverability,Workday Delivered,Multi-instance,Tax Recoverability,,Tax Rule for Country,Default Areas
35013,5a381a8f52c57b32c0343469,Tax Recoverability,Taggable,Tax Recoverability as Worktag,Workday Delivered,Single instance,Tax Recoverability,,"Worktags - All Functional Areas

Worktags - Financials",Default Areas
