recordId,stoylProductRefId,fieldName,businessObjectName,description,fieldSource,fieldType,relatedBusinessObject,defaultPrompts,category,usageType
10001,5a381a8f52c57b32c0343469,Customer Group,Customer Payment,Customer Group of Customer on Payment,Workday Delivered,Multi-instance,Customer Group,,Customer Payments,Default Areas
10002,5a381a8f52c57b32c0343469,Customer Group,Customer Transaction,Customer group from customer on customer transaction.,Workday Delivered,Multi-instance,Customer Group,,Customer Payments,Default Areas
10003,5a381a8f52c57b32c0343469,Customer Group,Customer Payment Application Descriptor,Get the customer group from the Customer Payment Application Descriptor.,Workday Delivered,Multi-instance,Customer Group,,Customers,Default Areas
10004,5a381a8f52c57b32c0343469,Customer Group,Financial Line,Customer Groups for Customer Worktag,Workday Delivered,Multi-instance,Customer Group,,Customers,Default Areas
10005,5a381a8f52c57b32c0343469,Customer Group for Customer,Customer Invoice Maintenance,Returns an instance of Customer Group related to the Customer,Workday Delivered,Multi-instance,Customer Group,,Customers,Report Writer
10006,5a381a8f52c57b32c0343469,Customer Group for Transaction,Cash Forecast Transaction,"Returns Customer Groups pertaining to the drillable transaction, component, or accumulation.",Workday Delivered,Single instance,Customer Group,,Customers,Drill Down (Internal)
10007,5a381a8f52c57b32c0343469,Customer Groups,Customer Invoice Document,The customer groups for the Customer listed on invoice.,Workday Delivered,Multi-instance,Customer Group,,Customer Invoice,Default Areas
10008,5a381a8f52c57b32c0343469,Customer Groups,Dunning Letter Printing Run Group,Displays the customer groups included in the dunning letter printing group.,Workday Delivered,Multi-instance,Customer Group,,Customers,Default Areas
10009,5a381a8f52c57b32c0343469,Customer Groups,Customer Invoice Printing Run Group,Displays the customer groups included in the customer invoice printing group.,Workday Delivered,Multi-instance,Customer Group,,Customers,Default Areas
10010,5a381a8f52c57b32c0343469,Customer Hierarchy,Customer Invoice Maintenance,Returns Superior Level Customers for the Customer assigned to the Customer Account Maintenance Instance.,Workday Delivered,Multi-instance,Customer,,Customers,Default Areas
10011,5a381a8f52c57b32c0343469,Customer Hierarchy,Customer Invoice Document,Returns Superior Level Customers for the Customer assigned to the Customer Invoice Document.,Workday Delivered,Multi-instance,Customer,,Customers,Default Areas
10012,5a381a8f52c57b32c0343469,Customer Hierarchy,Dunning Letter Printing Run Group,The customer hierarchy or hierarchies included in the dunning letter printing group.,Workday Delivered,Multi-instance,Customer,,Customers,Default Areas
10013,5a381a8f52c57b32c0343469,Customer Hierarchy,Customer Invoice Printing Run Group,The customer hierarchy or hierarchies included in the customer invoice printing group.,Workday Delivered,Multi-instance,Customer,,Customers,Default Areas
10014,5a381a8f52c57b32c0343469,Customer ID,Customer,This field returns the unique Customer ID.,Workday Delivered,Text,,,Name or Identifier,Default Areas
10015,5a381a8f52c57b32c0343469,Customer ID,Customer Billable Document,The customer ID for the customer or consolidated invoice.,Workday Delivered,Text,,,Name or Identifier,Default Areas
10016,5a381a8f52c57b32c0343469,Customer ID,Journal Line,,Calculated,Text,,,Journal Entry,Default Areas
