recordId,stoylProductRefId,fieldName,businessObjectName,description,fieldSource,fieldType,relatedBusinessObject,defaultPrompts,category,usageType
30001,5a381a8f52c57b32c0343469,Require Sponsorship,"Job Applications, Prospects and Referrals",Returns whether candidate requires sponsorship.,Workday Delivered,Single instance,Question Multiple Choice Answer,,Recruiting,Default Areas
30002,5a381a8f52c57b32c0343469,Requires Prenote,Settlement Instruction,Does the bank account require a prenote,Workday Delivered,Boolean,,,Bank Account,Default Areas
30003,5a381a8f52c57b32c0343469,Requires Provider ID,Health Care Coverage Plan,Returns whether or not the benefit plan requires employees to select a provider ID during enrollment.,Workday Delivered,Boolean,,,Uncategorized,Default Areas
30004,5a381a8f52c57b32c0343469,Requires Provider ID,Health Care Election,Indicates whether a Provider ID is required for the health care election.,Workday Delivered,Boolean,,,Benefits,Default Areas
30005,5a381a8f52c57b32c0343469,Requires Relaunch,Review Document Event,Returns true when the review document event needs to be relaunched using the Relaunch eSignature Integration task.,Workday Delivered,Boolean,,,Business Process,Report Writer
30006,5a381a8f52c57b32c0343469,Requisition,Requisition,Returns this instance of the requisition.,Workday Delivered,Self referencing instance,Requisition,,Requisition,Default Areas
30007,5a381a8f52c57b32c0343469,Requisition,Goods Requisition Line,Returns the requisition for this item requisition line.,Workday Delivered,Single instance,Requisition,,Uncategorized,Default Areas
30008,5a381a8f52c57b32c0343469,Requisition,Approve Requisition Task,Requisition for worklet parameter mapping.,Workday Delivered,Single instance,Requisition,,Uncategorized,Default Areas
30009,5a381a8f52c57b32c0343469,Requisition,Review Requisition Task,Requisition for worklet parameter mapping.,Workday Delivered,Single instance,Requisition,,Uncategorized,Default Areas
30010,5a381a8f52c57b32c0343469,Requisition,Source Goods Requisition Task,Requisition for worklet parameter mapping.,Workday Delivered,Single instance,Requisition,,Uncategorized,Default Areas
30011,5a381a8f52c57b32c0343469,Requisition,Source Service Requisition Task,Requisition for worklet parameter mapping.,Workday Delivered,Single instance,Requisition,,Uncategorized,Default Areas
30012,5a381a8f52c57b32c0343469,Requisition,Source Goods From Storage Task,Requisition for worklet parameter mapping.,Workday Delivered,Single instance,Requisition,,Uncategorized,Default Areas
30013,5a381a8f52c57b32c0343469,Requisition,Source After Partial Source From Storage Task,Requisition for worklet parameter mapping.,Workday Delivered,Single instance,Requisition,,Uncategorized,Default Areas
30014,5a381a8f52c57b32c0343469,Requisition,Request for Quote,The Requisition sourced by the Request for Quote.,Workday Delivered,Multi-instance,Requisition,,Request for Quote,Default Areas
30015,5a381a8f52c57b32c0343469,Requisition Allowance Plans,Job Requisition,Returns details about the allowance plans assigned to a job requisition.,Workday Delivered,Multi-instance,Compensation Plan Assignment Snapshot,,Compensation,Default Areas
30016,5a381a8f52c57b32c0343469,Requisition Bonus Plans,Job Requisition,Returns details about the bonus plans assigned to a job requisition.,Workday Delivered,Multi-instance,Compensation Plan Assignment Snapshot,,Compensation,Default Areas
30017,5a381a8f52c57b32c0343469,Requisition Commission Plans,Job Requisition,Returns details about the commission plans assigned to a job requisition.,Workday Delivered,Multi-instance,Commission Plan Assignment Snapshot,,Compensation,Default Areas
30018,5a381a8f52c57b32c0343469,Requisition Company,Inventory Transaction,The company where the originating requisition was created.,Workday Delivered,Multi-instance,Company,,Company,Default Areas
30019,5a381a8f52c57b32c0343469,Requisition Compensation Grade,Job Requisition,Returns compensation grade assigned to a job requisition.,Workday Delivered,Single instance,Compensation Grade,,Compensation,Default Areas
30020,5a381a8f52c57b32c0343469,Requisition Compensation Grade Profile,Job Requisition,Returns compensation grade profile assigned to a job requisition.,Workday Delivered,Single instance,Compensation Grade Profile,,Compensation,Default Areas
30021,5a381a8f52c57b32c0343469,Requisition Compensation Most Recent Change Date,Job Requisition,Returns the date of the most recent change to the requisition compensation.,Workday Delivered,Date,,,Compensation,Default Areas
30022,5a381a8f52c57b32c0343469,Requisition Compensation Package,Job Requisition,Returns the compensation package assigned to a job requisition.,Workday Delivered,Single instance,Compensation Package,,Compensation,Default Areas
30023,5a381a8f52c57b32c0343469,Requisition Compensation Plans,Job Requisition,Returns the compensation plans assigned to a job requisition.,Workday Delivered,Multi-instance,Compensation Plan,,Compensation,Default Areas
30024,5a381a8f52c57b32c0343469,Requisition Compensation Range - 25th Percentile,Job Requisition,"The 25th percentile of the compensation grade profile pay range assigned to a job requisition. If no compensation grade profile exists, the compensation grade is used to determine the pay range's 25th percentile. To determine the 25th percentile, the following formula is used: ((Grade Profile Maximum - Grade Profile Minimum)/4) + Grade Profile Minimum.",Workday Delivered,Currency,,,Compensation,Default Areas
