recordId,stoylProductRefId,fieldName,businessObjectName,description,fieldSource,fieldType,relatedBusinessObject,defaultPrompts,category,usageType
1,5a381a8f52c57b32c0343469,-,Global,Returns Dash Character '-',Workday Delivered,Text,,,Uncategorized,Default Areas
2,5a381a8f52c57b32c0343469,_,Global,,Calculated,Text,,,Uncategorized,Default Areas
3,5a381a8f52c57b32c0343469,",",Global,"Returns Comma Character ','",Workday Delivered,Text,,,Uncategorized,Default Areas
4,5a381a8f52c57b32c0343469,:,Global,Returns Colon Character '.',Workday Delivered,Text,,,Uncategorized,Default Areas
5,5a381a8f52c57b32c0343469,/,Global,Returns Forward Slash Character '/',Workday Delivered,Text,,,Uncategorized,Default Areas
6,5a381a8f52c57b32c0343469,.,Global,Returns Period Character '.',Workday Delivered,Text,,,Uncategorized,Default Areas
7,5a381a8f52c57b32c0343469,0.0001,Global,,Calculated,Numeric,,,Uncategorized,Default Areas
8,5a381a8f52c57b32c0343469,0.01,Global,,Calculated,Numeric,,,Uncategorized,Default Areas
9,5a381a8f52c57b32c0343469,0.0625,Global,,Calculated,Numeric,,,Uncategorized,Default Areas
10,5a381a8f52c57b32c0343469,0.2,Global,,Calculated,Numeric,,,Uncategorized,Default Areas
11,5a381a8f52c57b32c0343469,0.3,Global,,Calculated,Numeric,,,Uncategorized,Default Areas
12,5a381a8f52c57b32c0343469,0.4,Global,,Calculated,Numeric,,,Uncategorized,Default Areas
13,5a381a8f52c57b32c0343469,0.5,Global,,Calculated,Numeric,,,Uncategorized,Default Areas
14,5a381a8f52c57b32c0343469,0.6,Global,,Calculated,Numeric,,,Uncategorized,Default Areas
15,5a381a8f52c57b32c0343469,0.7,Global,,Calculated,Numeric,,,Uncategorized,Default Areas
16,5a381a8f52c57b32c0343469,0.8,Global,,Calculated,Numeric,,,Uncategorized,Default Areas
17,5a381a8f52c57b32c0343469,0.83,Global,,Calculated,Numeric,,,"Global

Leave of Absence

Time Off",Default Areas
18,5a381a8f52c57b32c0343469,~Confidential~ Review,Employee Review,True if all sections of the employee review are configured with Employee View Option equal to hidden.,Workday Delivered,Boolean,,,Goals and Reviews,Default Areas
19,5a381a8f52c57b32c0343469,~Employee Type~ (Probation Period),Probation Period Target,The proposed employee type for the position of the employee or pre-hire.,Workday Delivered,Single instance,Employee Type,,Probation Period Eligibility,Probation Periods Eligibility
20,5a381a8f52c57b32c0343469,"""",Global,Quote symbol,Calculated,Text,,,Global,Default Areas
21,5a381a8f52c57b32c0343469,"""2"" - Belegartschlüssel (BA)",Supplier Invoice Line,,Calculated - Report Specific,Text,,,Uncategorized,Default Areas
22,5a381a8f52c57b32c0343469,"""Do Not Use"" Data Source",Custom Report,"Contains the Data Source defined in the custom report if the Data Source is ""Do Not Use"".",Workday Delivered,Multi-instance,Data Source,,Report Writer,Default Areas
23,5a381a8f52c57b32c0343469,"""Do Not Use"" Data Source Filter",Report Definition,"Contains the Data Source filter defined in the data source of the custom report if it is ""Do Not Use"".",Workday Delivered,Single instance,Data Source Filter,,Report Writer,Default Areas
24,5a381a8f52c57b32c0343469,"""Do Not Use"" Report Fields",Report Definition,"Contains any Report Fields defined in the custom report that are ""Do Not Use"".",Workday Delivered,Multi-instance,Field,,Report Writer,Default Areas
25,5a381a8f52c57b32c0343469,"""E"" - Suppliers/Einbringungen (E)",Supplier Invoice Line,,Calculated - Report Specific,Text,,,Uncategorized,Default Areas
26,5a381a8f52c57b32c0343469,"""In"" Time of 2nd Time Block for Time Day",Time Day,"Used to get the ""In"" Time on the 2nd time block of the day",Calculated,DateTimeZone,,,Time Day,Default Areas
27,5a381a8f52c57b32c0343469,"""Out"" Time of 1st Time Block for Time Day",Time Day,"Used to get the ""Out"" Time on the 1st time block of the day",Calculated,DateTimeZone,,,Time Day,Default Areas
28,5a381a8f52c57b32c0343469,"""Regular"" Time Reported (in Time Day) > 0",Time Day,"In a Time Day ""Regular"" Hours must exist  (> 0 hours)",Calculated,Boolean,,,Time Day,Default Areas
29,5a381a8f52c57b32c0343469,(,Global,Returns Left Parentheses '(' Character,Workday Delivered,Text,,,Uncategorized,Default Areas
30,5a381a8f52c57b32c0343469,(possibly) Equivalent Rules,Condition Rule,Rules that appear to be identical,Workday Delivered,Multi-instance,Condition Rule,,Business Process,Default Areas
31,5a381a8f52c57b32c0343469,(US) Injury Illness Type,Involved Party,The type of injury/illness.,Workday Delivered,Single instance,(US) Injury Illness Type,,Safety Incident Tracking,Default Areas
32,5a381a8f52c57b32c0343469,),Global,Returns Left Parentheses ')' Character,Workday Delivered,Text,,,Uncategorized,Default Areas
33,5a381a8f52c57b32c0343469,[A1],Customer Invoice Line,,Calculated,Text,,,Customer Invoice,Default Areas
34,5a381a8f52c57b32c0343469,[Count of Time Blocks for Time Day With Call Out and < 2 Hours]  * 2,Time Day,"Count all ""Call Out"" time blocks where hours are < 2 hours and multiply by 2",Calculated,Numeric,,,Time Day,Default Areas
35,5a381a8f52c57b32c0343469,[L],Customer Invoice Line,,Calculated,Text,,,Uncategorized,Default Areas
36,5a381a8f52c57b32c0343469,[M],Customer Invoice Line,,Calculated,Text,,,Customer Invoice,Default Areas
37,5a381a8f52c57b32c0343469,[Q],Customer Invoice Line,,Calculated,Text,,,Customer Invoice,Default Areas
38,5a381a8f52c57b32c0343469,[S],Customer Invoice Line,,Calculated,Text,,,Customer Invoice,Default Areas
39,5a381a8f52c57b32c0343469,[T],Customer Invoice Line,,Calculated,Text,,,Customer Invoice,Default Areas
40,5a381a8f52c57b32c0343469,[three],Customer Invoice Line,,Calculated,Text,,,Customer Invoice,Default Areas
41,5a381a8f52c57b32c0343469,[two],Customer Invoice Line,,Calculated,Text,,,Customer Invoice,Default Areas
42,5a381a8f52c57b32c0343469,[zero],Customer Invoice Line,,Calculated,Text,,,Customer Invoice,Default Areas
43,5a381a8f52c57b32c0343469,@,Global,Returns Ampersat Character '@',Workday Delivered,Text,,,Uncategorized,Default Areas
