recordId,stoylProductRefId,fieldName,businessObjectName,description,fieldSource,fieldType,relatedBusinessObject,defaultPrompts,category,usageType
20001,5a381a8f52c57b32c0343469,Last Entry Date,Academic Level Configuration,Last Entry Date of Academic Level Configuration,Workday Delivered,Date,,,Uncategorized,Default Areas
20002,5a381a8f52c57b32c0343469,Last Exam Valid To - Current,Personal Information Change Event,Current Medical Exam Valid To Date,Workday Delivered,Date,,,Basic Bio,Default Areas
20003,5a381a8f52c57b32c0343469,Last Exam Valid To - Proposed,Personal Information Change Event,Proposed Medical Exam Valid To Date,Workday Delivered,Date,,,Basic Bio,Default Areas
20004,5a381a8f52c57b32c0343469,Last Expense Report Submitted,Worker,The last expense report submitted by the worker.,Workday Delivered,Single instance,Expense Report,,Expense Report,Default Areas
20005,5a381a8f52c57b32c0343469,Last Expense Report Submitted,Worker,,Calculated,Single instance,Expense Report,,Expense Report,Default Areas
20006,5a381a8f52c57b32c0343469,Last Expense Report Submitted Date,Worker,The submit date of he last expense report submitted by the worker.,Workday Delivered,Date,,,Expense Report,Default Areas
20007,5a381a8f52c57b32c0343469,Last Extract Created Date Time,Last Extract Created,Returns DateTime that Last Extract Created for Integration System.,Workday Delivered,Date,,,Payroll Interface,Integrations
20008,5a381a8f52c57b32c0343469,Last Functionally Updated,Default Business Object,Returns the most recent moment this object or its child objects were updated.,Workday Delivered,Date,,,Report Writer,Default Areas
20009,5a381a8f52c57b32c0343469,Last Grant by Date,Employee,,Calculated - Report Specific,Single instance,Stock Grant,,Uncategorized,Default Areas
20010,5a381a8f52c57b32c0343469,Last Grant Date,Employee,,Calculated - Report Specific,Date,,,Uncategorized,Default Areas
20011,5a381a8f52c57b32c0343469,Last High Performer Statistic,Worker,,Calculated,Single instance,Custom Object Data,,Uncategorized,Default Areas
20012,5a381a8f52c57b32c0343469,Last Installment Amount,Contract Line,The last installment amount for the contract line.,Workday Delivered,Currency,,,Amount,Default Areas
20013,5a381a8f52c57b32c0343469,Last Invoice Date,Supplier,The date of the most recent supplier invoice or supplier invoice adjustment.  Denied or Canceled Supplier Invoice Documents are not included.,Workday Delivered,Date,,,Date or Time Period,Default Areas
20014,5a381a8f52c57b32c0343469,Last Invoice Date,Customer,The date of the most recent customer invoice,Workday Delivered,Date,,,Date or Time Period,Default Areas
20015,5a381a8f52c57b32c0343469,Last Issued Date,Business Asset,The date of the last issue or transfer.,Workday Delivered,Date,,,Date or Time Period,Default Areas
20016,5a381a8f52c57b32c0343469,Last Issued or Transferred Date,Business Asset Abstract,The date an asset was last transferred or issued to a worker.,Workday Delivered,Date,,,Date or Time Period,Default Areas
20017,5a381a8f52c57b32c0343469,Last Leave - Leave Percentage,Leave Return Event,,Calculated,Numeric,,,Uncategorized,Default Areas
20018,5a381a8f52c57b32c0343469,Last Leave Request Date,Worker,,Calculated,Date,,,Uncategorized,Default Areas
20019,5a381a8f52c57b32c0343469,Last Leave Request Event,Leave of Absence Event,,Calculated,Single instance,Leave Request Event,,Uncategorized,Default Areas
20020,5a381a8f52c57b32c0343469,Last Leave Request Event,Worker,,Calculated,Single instance,Leave Request Event,,Uncategorized,Default Areas
20021,5a381a8f52c57b32c0343469,Last Location Change Effective Date,Employee,,Calculated,Date,,,Uncategorized,Default Areas
20022,5a381a8f52c57b32c0343469,Last Medical Exam Changed,Personal Information Change Event,"Returns true if worker's last medical exam info has changed. This includes date of last exam, valid to date, and exam notes",Workday Delivered,Boolean,,,Basic Bio,Default Areas
20023,5a381a8f52c57b32c0343469,Last Medical Exam Comments,Worker,Notes on the last medical exam for the worker,Workday Delivered,Text,,,Basic Bio,Default Areas
